공통,공통,1분안에 자기소개를 해주세요.
공통,공통,본인의 장단점을 말해보세요.
공통,공통,우리 회사에 지원한 이유는 무엇입니까?
공통,공통,입사 후 1주일을 어떻게 보내실 건가요?
공통,공통,우리가 당신을 뽑아야 하는 이유는 무엇입니까?
공통,공통,최근 읽었던 책 중 가장 기억에 남는 것은?
공통,공통,인생에서 가장 도전적이었던 경험은 무엇입니까?
공통,공통,회사를 선택할 때 중요시 하는 것은?
공통,공통,"남이평가하는 자신은 어떠하고, 자신이 평가하는 자신은 어떠한지?"
공통,공통,가장 행복했던 순간과 힘들었던 순간은 언제인가?
공통,공통,자기소개를 영어로 해보세요.
공통,공통,마지막으로 할 말이나 궁금한 사항 있으신가요?
공통,공통,입사 후 포부를 말해보세요
공통,공통,스트레스 해소법에 대해 말해보시오.
공통,공통,학점이 낮은데 그 이유는 무엇입니까.
공통,공통,지원자는 어떤 사람인가?
공통,공통,주량은 어느 정도인가?
공통,공통,지원분야에서 본인의 강점은 무엇입니까.
공통,공통,진행했던 프로젝트에 대해서 설명해보아라.
공통,공통,이번 인턴 경험을 통해서 얻고 싶은 가치는 무엇인가요?
공통,공통,본인을 뽑아야 하는 이유를 말해보세요
공통,공통,본인의 별명과 그 별명을 얻은 이유
공통,공통,입사 후 어떤 일을 하게 될 것 같고 어떤 일을 하고 싶은가
공통,공통,취업에 실패하게 되면 어떻게 할 것인가
공통,공통,다툼이 발생했을 때 이를 해결하는 당신만의 방법이 있나요? 그것을 한마디로 표현한다면?
공통,공통,당신의 전공이 무엇인지 한 마디로 표현할 수 있나요?
공통,공통,지금까지 살아오면서 가장 힘들었던 일은 무엇인가요?
공통,공통,당신은 긍정적인 사고방식을 갖고 계신가요?
공통,공통,가장 자신있는 프로젝트는 무엇인가요?
공통,공통,학창시절 대외활동 경험이 직무에 어떻게 도움이 될까요?
공통,공통,당신은 관습을 따르는 편인가요? 아니면 새로운 것을 추구하는 쪽인가요?
공통,공통,다른 사람들은 당신을 어떤 사람이라고 생각하나요?
공통,공통,화장실에 휴지가 없다면 어떻게 행동하겠습니까?
공통,공통,"흥부와 놀부가 있다고 가정할 때, 당신이라면 누구를 뽑겠나요?"
공통,공통,"옆 사람이 함께 등정을 간 친구라고 가정하자. 벼랑에 세 명의 로프가 엮여서 셋 중 한 명을 끊으면 나머지 둘이 살고, 아니면 셋 다 죽어야 하는 상황이 되었을 때 어떻게 대처할 것인가?"
공통,공통,본인의 갈등이나 좌절한 경험에 대해 말해주세요
공통,공통,우리 회사의 이미지에 대해 이야기 해주세요
공통,공통,직무가 바뀌어도 괜찮습니까?
공통,공통,인생의 목표는 무엇입니까?
공통,공통,상사의 말이 확실히 틀렸을 때는 어떻게 할 것인가?
공통,공통,집안이 무너질 때 도와줄 친구는 몇명인가
공통,공통,지기 싫어하는 성격인것 같은데 경쟁에서 져본적이 있는지 그 때 배운점이 있다면?
공통,공통,존경하는 인물을 말해보세요.
공통,공통,본인이 여성 지원자로서 강점이 무엇이 있는가?
공통,공통,친구들과의 서로 다른 의견을 조율해본 경험이 있습니까?
SKT,ICT유/무선인프라,살면서 창의적인 아이디어로 문제를 해결한적이 있습니까?
SKT,ICT유/무선인프라,경험해본 통신 프로젝트에 대해 말해보세요
SKT,ICT유/무선인프라,OSI 7계층과 TCP 4/5계층의 차이점을 말해보세요
SKT,ICT유/무선인프라,귀사와 타사와의 차이점을 말해보세요
SKT,ICT유/무선인프라,SKT에 들어와서 하고 싶은 일이 무엇인가요?
SKT,ICT Service Planing,블록체인의 미래에 대해서 어떻게 생각하나요?
SKT,ICT Service Planing,지금까지 살아오면서 조직활동을 통해 어려움을 겪은 경험에 대해 말해보아라.
SKT,ICT Service Planing,지원한 직무와 관련된 경험을 하신 경험이 있으신가요?
SKT,ICT Service Planing,우리 회사와 관련된 최근 기사에 대해 생각을 말해주세요
SKT,ICT Service Planing,SKT에 들어와서 하고 싶은 일이 무엇인가요?
SKT,Developer,Front-End 개발시 호환성 체크는 어떻게 하나요?
SKT,Developer,프로세스와 스레드의 차이점을 설명해보세요.
SKT,Developer,HTTP와 프로토콜에 대해 설명하세요.
SKT,Developer,TCP와 UDP의 차이점을 설명해보세요.
SKT,Developer,자기 계발을 위해 어떤 노력을 해보았습니까?
SK하이닉스,소자/설계/양산/기술,DRAM과 NAND flesh 차이는?
SK하이닉스,소자/설계/양산/기술,삼성전자와 우리 회사의 차이점을 말해보세요
SK하이닉스,소자/설계/양산/기술,반도체에 관심을 갖게된 계기가 뭔가요?
SK하이닉스,소자/설계/양산/기술,제일 자신있는 공정에 대해서 말해보세요
SK하이닉스,소자/설계/양산/기술,"본인은 팔로워십, 리더십 중 어떤 타입인가요?"
SK하이닉스,제품.서비스영업,피투씨와 비투비의 차이는?
SK하이닉스,제품.서비스영업,어떤 직장 상사가 가장 힘들다고 생각하는가?
SK하이닉스,제품.서비스영업,환율 상승 또는 하락시 sk 하이닉스에 미치는 영향은 무엇인가요
SK하이닉스,제품.서비스영업,영업 관리를 위한 본인만의 핵심 역량은 무엇인가요?
SK하이닉스,제품.서비스영업,실제 영업 및 판매를 해 본 경험이 있는가.
SK하이닉스,재무·마케팅·기획,당사가 재무적으로 시급하게 보완해야 될 것이 무엇이라고 생각하는가
SK하이닉스,재무·마케팅·기획,"세무회계와 재무회계,관리회계의 차이점은 무엇인가요"
SK하이닉스,재무·마케팅·기획,최근 이슈 사항 중 관심있는 이슈와 본인의 견해는?
SK하이닉스,재무·마케팅·기획,SK하이닉스에서 생산하는 제품은 무엇인지 설명해보세요
SK하이닉스,재무·마케팅·기획,우리 회사에 대해서 아는 것을 모두 말씀해 보세요
SK하이닉스,재무·마케팅·기획,성과 지향적 리더와 소통 지향적 리더 중 어떤 리더가 더 중요한가?
SK하이닉스,IT,자신이 제출한 포트폴리오를 설명해 보라
SK하이닉스,IT,마케팅 부서에서 계속 내용이 바뀌면 어떻게 대처할 것인가?
SK하이닉스,IT,운영체제 커널 분석을 수행해 본 적이 있나?
SK하이닉스,IT,본인이 사용할 줄 아는 언어들의 차이점은 무엇인가?
SK하이닉스,IT,시간이 촉박한 시험 기간에 어떻게 시간 관리를 했나?
마이다스IT,IT/인터넷,무슨 프로그램을 개발하고 싶나요?
마이다스IT,IT/인터넷,C/C++의 차이가 무엇인가요?
마이다스IT,IT/인터넷,지구의 질량을 더하기로 구하라
마이다스IT,IT/인터넷,평소에 검색을 많이 하나요?
마이다스IT,IT/인터넷,마이다스IT는 어떤 회사인가요?
마이다스IT,IT/인터넷,취업하기가지 어떤 과정을 거쳤나요?
마이다스IT,IT/인터넷,"다음, 네이버, 구글 검색을 비교해서 설명한다면?"
마이다스IT,SW개발/웹개발,가장 보람있었던 프로젝트는 무엇인가?
마이다스IT,SW개발/웹개발,마이다스아이티를 어떻게 알게 되었는가?
마이다스IT,SW개발/웹개발,마이다스아이티 홈페이지가 타 회사 홈페이지와 어떤 차이가 있는지 이야기 해보세요.
마이다스IT,SW개발/웹개발,"살면서 업무, 인간관계 등 가장 힘들었던 경험은 무엇이었는가?"
마이다스IT,SW개발/웹개발,"회사에서 본인이 발전할 수 있는 일이 아니라 단순한 반복적인 일만 시킨다면, 어떻게 할 것인가?"
마이다스IT,SW개발/웹개발,가장 힘들었던 프로젝트는 무엇인가?
마이다스IT,마케팅/기획,마이다스IT는 어떤 회사인가요?
마이다스IT,마케팅/기획,마케팅/기획 직무를 위해 어떠한 노력을 해왔나요?
마이다스IT,마케팅/기획,아무도 지키지 않는 규칙도 지킬 것인가?
